GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
car-app,com.brunom,DriveModeEnum,0,27,0,0,0,2,0,1,0,1
car-app,com.brunom,SimulationManager,1248,17,123,0,337,4,82,2,12,2
car-app,com.brunom,App,5,0,0,0,3,0,2,0,2,0
car-app,com.brunom,Car,0,589,0,68,0,130,0,54,0,20
car-app,com.brunom,ComfortableMode,0,67,0,6,0,13,0,6,0,3
car-app,com.brunom,NormalMode,0,67,0,6,0,13,0,6,0,3
car-app,com.brunom,ElectricMode,0,94,0,10,0,14,0,8,0,3
car-app,com.brunom,Passenger,3,9,0,0,1,4,1,1,1,1
car-app,com.brunom,DriveMode,0,6,0,0,0,3,0,1,0,1
car-app,com.brunom,SportMode,0,73,0,8,0,13,0,7,0,3
